HOST_NEIGHBOURHOOD_LGA,YEAR_MONTH,NUMBER_OF_DISTINCT_HOST,ESTIMATED_REVENUE,ESTIMATED_REVENUE_PER_HOST
Liverpool,2021-04-01,5,4193.428571,5213.000000
Blacktown,2021-04-01,1,1350.000000,
Liverpool,2020-05-01,1,1650.000000,1650.000000
Parramatta,2020-06-01,6,3350.000000,4175.000000
Parramatta,2021-01-01,8,2342.722222,4941.125000
Strathfield,2020-08-01,9,526.363636,518.888889
The Hills Shire,2021-03-01,3,36693.333333,36693.333333
Georges River,2021-04-01,1,0.000000,0.000000
The Hills Shire,2020-08-01,2,920.000000,1380.000000
Hunters Hill,2020-08-01,1,8370.000000,8370.000000
Liverpool,2021-03-01,1,1650.000000,1650.000000
Randwick,2020-12-01,784,5035.273084,4231.456633
Canterbury-Bankstown,2020-06-01,170,1112.598456,1130.623529
Cumberland,2021-01-01,29,1915.258065,2047.344828
Inner West,2021-04-01,158,3734.988372,2479.354430
Sydney,2021-04-01,1644,4298.778658,1438.574209
Waverley,2020-08-01,1466,5624.311111,1768.809004
Woollahra,2021-04-01,207,7804.333333,6002.971014
Inner West,2020-10-01,225,5122.815451,2889.893333
Inner West,2021-01-01,369,3682.712159,2603.891599
Woollahra,2020-10-01,147,7322.396985,9308.884354
Georges River,2021-01-01,47,3608.517857,3725.042553
Penrith,2021-04-01,7,2032.888889,4950.857143
North Sydney,2020-08-01,181,2564.875969,3319.254144
Woollahra,2020-10-01,235,6485.980469,5218.089362
Sydney,2020-12-01,1584,4313.155482,2697.551768
Northern Beaches,2020-09-01,209,9489.205021,7662.918660
North Sydney,2021-03-01,55,6186.370968,6591.909091
North Sydney,2020-10-01,102,5319.252336,3897.941176
Inner West,2021-03-01,817,4251.869021,1542.963280
Randwick,2020-08-01,163,2806.124378,2795.650307
Bayside,2020-10-01,188,2893.878641,1693.132979
Willoughby,2021-04-01,25,4211.285714,4554.640000
North Sydney,2020-12-01,401,4754.388889,3314.917706
Canada Bay,2021-01-01,46,2449.416667,2239.608696
Georges River,2020-08-01,100,1397.356164,1713.800000
Northern Beaches,2021-02-01,189,10912.368030,12699.502646
Randwick,2020-05-01,259,2834.683673,2279.324324
Georges River,2021-04-01,53,2362.741935,2129.433962
Canterbury-Bankstown,2020-10-01,58,1597.147541,1174.586207
Northern Beaches,2021-03-01,4,27528.000000,34410.000000
Inner West,2020-09-01,617,2253.271961,1907.236629
Waverley,2021-03-01,934,5937.107741,5047.885439
Sydney,2021-03-01,357,4692.183623,3961.899160
Sydney,2020-10-01,295,1741.384040,1802.674576
Willoughby,2020-10-01,36,4322.702703,3263.611111
Woollahra,2020-10-01,182,5358.802030,3549.967033
Canterbury-Bankstown,2021-03-01,111,2494.800000,1600.810811
Ryde,2020-05-01,57,2965.107843,3776.947368
Randwick,2020-12-01,12,9487.500000,9487.500000
Penrith,2020-12-01,6,7113.937500,18970.500000
Canada Bay,2020-09-01,8,3839.125000,3839.125000
Cumberland,2020-12-01,34,2248.340909,2721.529412
